customer_id,customer_name,email,city,country,signup_date,acquisition_channel
CUST_00001,Lucy Gonzalez-Gilbert,ccohen@example.net,Paulnec,France,2023-06-16,Email
CUST_00002,Isaac Marchal,pmillet@example.net,Dupuy,France,2023-07-14,Referral
CUST_00003,Jérôme Pottier,jacquelinebodin@example.org,Hamel,France,2022-08-11,Google Ads
CUST_00004,Julien de Bertrand,guyonalfred@example.net,Guilbert,France,2023-03-31,Email
CUST_00005,Étienne Hernandez,robertdufour@example.net,Faivre-sur-Mer,France,2024-09-06,Google Ads
CUST_00006,Jacques Moreno,marc79@example.net,Fournier-la-Forêt,France,2024-06-22,Email
CUST_00007,Bernadette Germain de Lemonnier,chauvetmaggie@example.net,Pereira,France,2024-10-30,Facebook
CUST_00008,Émile Poulain,lmace@example.com,Briand,France,2023-10-14,Referral
CUST_00009,Jeannine Lopez,noel89@example.com,Guilbert-sur-Baron,France,2022-12-29,Email
CUST_00010,Charles Rivière-Diallo,emmanuelschmitt@example.net,Charpentier-la-Forêt,France,2024-11-27,Facebook
CUST_00011,Anne Hamon,renaultjacqueline@example.org,Sainte Victoireboeuf,France,2024-11-25,Facebook
CUST_00012,Alexandrie Perrot,cecile26@example.com,Guérin,France,2022-02-16,Google Ads
CUST_00013,Emmanuel Meunier-Perez,philippine67@example.org,Sainte Eugène,France,2024-10-25,Organic
CUST_00014,Dominique Lefebvre,hsauvage@example.net,Saint Davidnec,France,2024-02-24,Facebook
CUST_00015,Philippine Mallet,barthelemyvictoire@example.org,Leroy-sur-Dufour,France,2022-12-26,Organic
CUST_00016,Anouk de la Didier,audrey58@example.net,Sainte Geneviève,France,2023-10-20,Google Ads
CUST_00017,Guillaume Leduc,grondinbrigitte@example.org,Bretonnec,France,2023-08-27,Facebook
CUST_00018,Honoré Nicolas,philippe60@example.net,Jacob,France,2023-02-03,Email
CUST_00019,Pauline de Hoareau,cboutin@example.net,Bonnet,France,2023-10-31,Email
CUST_00020,Jules Jacquet,camillerichard@example.org,AubertVille,France,2024-11-18,Email
CUST_00021,Émile Blot-Guyot,cblondel@example.net,Saint Astrid,France,2023-03-23,Referral
CUST_00022,Suzanne Moreno,jeanmarchand@example.org,Sainte Adélaïdeboeuf,France,2024-01-04,Facebook
CUST_00023,Amélie Reynaud,xdelaunay@example.net,Ribeirodan,France,2024-08-29,Organic
CUST_00024,Eugène Ferrand de la Muller,uguillon@example.com,Brunel,France,2024-03-12,Email
CUST_00025,Alain de Valentin,schmittjoseph@example.net,Poirierdan,France,2023-10-20,Referral
CUST_00026,Olivier Delmas,marinebruneau@example.net,Marty,France,2022-10-26,Google Ads
CUST_00027,Isaac Bourgeois,marianneetienne@example.net,Sainte LucyVille,France,2024-04-14,Email
CUST_00028,Suzanne Paul de Samson,denise42@example.com,Saint Nathalie-sur-Mer,France,2023-01-10,Facebook
CUST_00029,Charles Schneider,patriciabriand@example.com,JourdanVille,France,2023-05-08,Referral
CUST_00030,Nath-Hélène Dupont,whenry@example.org,Sainte Margaret,France,2024-11-10,Referral
CUST_00031,Émile Laroche,qmarie@example.org,Saint Robert-sur-Mer,France,2023-01-06,Facebook
CUST_00032,Suzanne Petit,juliette19@example.net,Delattre,France,2022-10-16,Facebook
CUST_00033,Gabrielle Nicolas,wblanchet@example.org,Gilles,France,2024-10-15,Organic
CUST_00034,Pénélope Fischer,louislecomte@example.org,Saint ÉliseVille,France,2024-08-16,Organic
CUST_00035,Roger Morin-Hardy,yhernandez@example.com,Petitjean,France,2023-09-23,Organic
CUST_00036,Pauline Deschamps,mauriceraynaud@example.org,Saint StéphanieBourg,France,2024-07-23,Referral
CUST_00037,Christelle Lamy,da-silvafrancois@example.com,Loiseau,France,2022-10-30,Facebook
CUST_00038,Lucy Pascal,adamphilippine@example.com,Leclercq-la-Forêt,France,2023-08-19,Referral
CUST_00039,Inès Robert,scordier@example.net,Bouvet-les-Bains,France,2024-06-22,Referral
